id,Название,Категория,Цена,Старая цена,Бейдж,Размеры,Цвета,Фото,Описание,Наличие
1,LACE SNEAKER — WHITE / SILVER,женское,25500,0,NEW,36;37;38;39;40;41;42;43;44;45,Белый / серебро,images/white-silver-2.webp;images/white-silver-3.webp;images/white-silver-4.webp;images/white-silver-5.webp;images/white-silver-6.webp;images/white-silver-7.webp,"Маломерят на 1 размер — берите на размер больше. Потёртости, винтажный эффект и неоднородное окрашивание подошвы — часть дизайна в стиле luxury sneakers, а не брак. Универсальная пара для города и повседневной носки.",да
2,LACE SNEAKER — GREY / PINK,женское,25500,0,ХИТ,39,Серый / розовый,images/grey-pink-2.webp;images/grey-pink-3.webp;images/grey-pink-4.webp;images/grey-pink-5.webp;images/grey-pink-6.webp;images/grey-pink-7.webp;images/grey-pink-8.webp;images/grey-pink-9.webp;images/grey-pink-10.webp;images/grey-pink-11.webp;images/grey-pink-12.webp;images/grey-pink-13.webp;images/grey-pink-14.webp,"Большемерят на 1 размер — берите на размер меньше. Потёртости, винтажный эффект и асимметрия — часть дизайна в стиле luxury sneakers, а не брак. Яркий акцент для повседневных образов.",да
